SOURCE	CATEGORY		FIELD_ID	FIELD_DESCRIPTION	TYPE		SEX-SPECIFICITY			Nº COMPLETENESS		% MISSINGNESS	
	UKBB_CATEGORY	GENERAL_CATEGORY			BINARY	QUANTITATIVE	MALE	FEMALE	COMMON_SEX	MALE	FEMALE	MALE	FEMALE
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26031	Starch	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26059	Sucrose	0	1	0	0	1	26852	32220	86,13861386	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26034	Thiamin	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26027	Total_carotene	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26060	Total_nitrogen	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26011	Total_sugars	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26000	Total_weight_of_all_foods_and_beverages	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26001	Total_weight_of_beverages_only	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26155	Trans_fatty_acids	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26009	Vegetable_fat	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26006	Vegetable_protein	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26061	Vitamin_A_retinol_equivalents	0	1	0	0	1	26852	32220	86,13861386	85,8910696
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26021	Vitamin_B12	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26020	Vitamin_B6	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26023	Vitamin_C	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26029	Vitamin_D	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26028	Vitamin_E	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26033	Zinc	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26015	n-3_fatty_acids	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Estimated_food_nutrients_yesterday	Nutrients	26016	n-6_fatty_acids	0	1	0	0	1	26852	32228	86,13861386	85,88756645
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26064	Added_sugars_and_preserves	0	1	0	0	1	26852	32220	86,13861386	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26065	Allium_vegetables	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26062	Animal_fat_spread_lower_fat	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26063	Animal_fat_spread_normal	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26089	Apples_and_pears	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26066	Beef	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26067	Beer_and_cider	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26090	Berries	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26075	Biscuit_cereal	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26068	Biscuits	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26076	Bran_cereal	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26069	Breaded/battered_chicken	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26070	Breaded/battered_fish	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26080	Chocolate_confectionery	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26091	Citrus	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26081	Coffee,_caffeinated	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26082	Coffee,_decaffeinated	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26154	Cream	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26092	Dried_fruit	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26088	Egg_and_egg_dishes	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26151	Fortified_wine	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26119	Fried/roast_potatoes	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26095	Fruit_juice	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26096	Full_fat_yogurt	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26097	Grain_dishes_-_added_fat	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26098	Green_leafy/cabbages	0	1	0	0	1	26845	32220	86,14222736	85,8910696
